suburb,postcode,local_density_score,neighbor_density_score,latitude,longitude
ABBOTSFORD,3067,133,83.69117647,-37.803515,144.998203
ABECKETT STREET,8006,4.5,86.54060914,-37.8097006,144.9593062
AINTREE,3336,85,93.62376238,-37.719,144.6684
ALBERT PARK,3206,3.5,83.1875,-37.846534,144.95086
ALMURTA,3979,93.5,61.93333333,-38.44818,145.591284
ALPHINGTON,3078,160,84.32692308,-37.778298,145.025853
ALTONA,3018,109.5,75.203125,-37.86172,144.812736
ALTONA NORTH,3025,133,77.53636364,-37.835562,144.839704
AMHERST,3371,95.5,132.5625,-37.196938,143.635622
AMOR,3825,48,39.63636364,-37.978862,146.342932
AMPHITHEATRE,3377,141.5,250.5,-37.231524,142.956916
ANAKIE,3213,55.5,160.4166667,-37.9406,144.2894
ANGLESEA,3230,127,81.20588235,-38.409363,144.176397
ANNUELLO,3549,43.5,31,-34.766049,142.820973
APPIN PARK,3677,131,58.28571429,-36.358017,146.330564
APSLEY,3319,231,246.5,-36.873961,141.051389
ARAPILES,3409,5,22.3125,-36.72484337,141.8632367
ARBUCKLE,3858,2,20.57142857,-37.3690401,146.8291658
ARDMONA,3629,179.5,76.8125,-36.287306,145.260653
ARMADALE NORTH,3143,4.5,82.88536585,-37.858918,145.019393
ARMSTRONG CREEK,3217,76,100.8166667,-38.23413976,144.3707843
ARTHURS CREEK,3099,58,104.1095238,-37.592101,145.192854
ASCOT VALE,3032,29.5,87.93850267,-37.774486,144.897221
ASHWOOD,3147,46.5,82.18009479,-37.867864,145.092946
AVENEL,3664,161,88.63636364,-36.927251,145.298203
AVONDALE HEIGHTS,3034,64,86.35875706,-37.761235,144.86194
AVONSLEIGH,3782,63,112.452381,-37.938068,145.433024
BADDAGINNIE,3670,122,191.9375,-36.623748,145.852449
BADGER CREEK,3777,174.5,114.7272727,-37.606088,145.513804
BAHGALLAH,3312,49,110,-37.6391,141.365747
BALACLAVA,3183,19,83.09701493,-37.869072,144.999026
BALLAN,3342,179.5,139.0384615,-37.651463,144.239102
BALLANGEICH,3279,3.5,35.36363636,-38.214555,142.657483
BALLARAT,3350,18.5,85.82183908,-37.571941,143.864505
BALLARAT MC,3354,232.5,198.21875,-37.560917,143.867158
BALNARRING,3926,19.5,72.77272727,-38.355231,145.094502
BALWYN EAST,3103,17,83.79904306,-37.811738,145.074116
BAMAWM EXTENSION,3561,14,45.5,-36.321109,144.709543
BAMGANIE,3333,629,338.9642857,-37.87179,144.04476
BANDIANA,3691,71.5,26.61111111,-36.13591208,146.9307559
BANDIANA MILPO,3694,43.5,34.27272727,-36.150678,146.919493
BANKSIA PENINSULA,3875,77.5,51.54545455,-37.94900419,147.63201
BANYULE,3084,99.5,83.88277512,-37.744406,145.082685
BAREENA,3220,47.5,103.5967742,-38.157038,144.34652
BARKLY,3381,93.5,60.15,-36.988914,142.7154
BARKSTEAD,3352,55.5,155.9375,-37.482132,143.662387
BARNAWARTHA,3688,33,42.27272727,-36.119195,146.717193
BARNAWARTHA NORTH,3688,30,44.05,-36.119195,146.717193
BAROMI,3871,9.5,37.76470588,-38.40304542,146.1775109
BARUNAH PARK,3329,300,413.4642857,-37.983701,143.908716
BARUNAH PLAINS,3329,113.5,296.5909091,-38.04453757,143.7726902
BASS,3991,92,69.53571429,-38.483041,145.466781
BATESFORD,3213,65,124.7,-38.091,144.2779
BAW BAW VILLAGE,3833,20,59.41666667,-37.829347,146.077886
BAYINDEEN,3375,399,202.1666667,-37.424288,143.143621
BAYLES,3981,81.5,95.62,-38.207298,145.575
BAYSWATER,3153,40,85.30167598,-37.845116,145.270141
BEACONSFIELD,3807,99.5,102.6604938,-38.048316,145.371635
BEALIBA,3475,16,21,-36.70633,143.51213
BEAUCHAMP,3579,4,34.41666667,-35.62576908,143.6250386
BEDFORD ROAD,3135,51.5,82.49202128,-37.819594,145.248209
BELGRAVE,3160,214.5,95.10743802,-37.935097,145.350821
BELL BIRD CREEK,3889,34,57.5,-37.610841,148.873952
BELLARINE,3221,57,93.92592593,-38.181608,144.427419
BELLBIRD CREEK,3889,28,85.25,-37.63819699,148.814786
BELLELLEN,3380,2,12.53846154,-37.0666,142.771159
BENA,3946,1.5,63.76666667,-38.448155,145.723537
BENALLA,3671,141,100.8636364,-36.385144,145.420691
BENAMBRA,3900,39.5,73,-36.88053,147.826143
BENDIGO,3550,25,82.66421569,-36.764269,144.285267
BENDIGO DC,3554,115.5,52.22222222,-36.757,144.279
BENDIGO SOUTH,3550,78,52.09090909,-36.764269,144.285267
BENTLEIGH,3204,12.5,77.99744898,-37.916956,145.036783
BENTLEIGH EAST,3165,3,78.07788945,-37.922369,145.059426
BERRAMBOOL,3379,248,113.3,-37.7667,142.6833
BERRIMAL,3518,12,26.83333333,-36.474937,143.586215
BERRIWILLOCK,3531,2,4.5,-35.616408,142.943814
BETLEY,3472,37.5,58.375,-36.864952,143.657638
BEVERFORD,3590,12,8.5,-35.235708,143.493525
BEVERIDGE,3753,97.5,124.6271186,-37.476474,144.959512
BIG HILL,3231,25,93.63333333,-38.47820971,144.0079299
BIG PATS CREEK,3799,315,90.81818182,-37.727566,145.818512
BILLABONG,3858,18,3.2,-37.24480987,146.80983
BINGINWARRI,3966,6,28.20833333,-38.630568,146.436583
BIRDWOODTON,3505,50.5,28.75,-34.180532,142.004192
BIRREGURRA,3242,141,136.1785714,-38.346704,143.740326
BITTERN,3918,38.5,78.82432432,-38.339871,145.155546
BLACK RANGE,3381,39.5,43.16666667,-37.1348818,142.7641486
BLACK ROCK NORTH,3193,156,70.5,-37.978698,145.031561
BLACKBURN NORTH,3130,146.5,83.32619048,-37.81805,145.149653
BLAIRGOWRIE,3942,48,66.97727273,-38.367874,144.768301
BOLANGUM,3381,1.5,9,-36.988914,142.7154
BOLINDA,3432,3,107.7325581,-37.448455,144.792581
BONN,3561,74.5,29.33333333,-36.40526528,144.7181934
BONNIE BROOK,3335,40,94.95263158,-37.69608887,144.6698898
BONNIE DOON,3720,22,159.9,-37.017241,145.850304
BONSHAW,3352,368.5,360.625,-37.60335408,143.813696
BOOLA,3825,34,62.92857143,-38.0485774,146.4605642
BOOLITE,3392,20,23.5,-36.34199038,142.6792298
BOOMAHNOOMOONAH,3728,20,62.78571429,-36.148922,145.959015
BOONAH,3235,20,121.0357143,-38.42875898,143.979689
BORALMA,3682,87,62.21428571,-36.174271,146.428656
BORONIA,3155,147.5,85.69476744,-37.861799,145.284418
BOTANIC RIDGE,3977,147.5,96.03968254,-38.1466398,145.2695101
BOUNDARY BEND,3599,54,22.5,-34.729742,143.143231
BOX HILL NORTH,3129,68,84.20616114,-37.806965,145.125084
BRADFORD,3463,32.5,58.1,-36.957983,144.05651
BRADVALE,3361,249,418.3,-37.752643,143.373089
